Feature,Score
HouseStyle,1579.0752420280203
LowQualFinSF,824.9794076431656
GarageFinish,696.3982315548943
GarageCars,628.5352910727787
MasVnrArea,589.5396869699298
Foundation,565.1085953518568
BsmtUnfSF,521.8827163346249
Electrical,501.6132740871664
KitchenAbvGr,464.07407589647124
GarageYrBlt,420.0390467914343
BsmtHalfBath,402.86388150200935
YearBuilt,365.76889394412103
OverallCond,357.47759703444774
KitchenQual,355.5529765394417
MasVnrType,276.98504256113034
Fireplaces,274.3303926886848
Functional,261.3489863921699
GarageType,257.472184733751
FireplaceQu,213.79747115030074
Heating,204.0406439447541
ExterCond,144.62667990321506
BsmtFinType1,141.84522551985242
PavedDrive,124.27050563390573
BsmtCond,112.03415240232036
MSZoning,98.13116713015724
1stFlrSF,90.00468836972661
HeatingQC,79.07270455018057
FullBath,78.62476811128668
WoodDeckSF,77.69987567459106
LotFrontage,75.60400125613178
GrLivArea,58.4638048643289
GarageCond,57.450034796768534
CentralAir,55.56488915734879
Street,55.27091937023077
BsmtFinSF2,53.039935672982885
SaleType,52.59553352260195
YearRemodAdd,49.561754239903685
LandSlope,42.13684069652547
MSSubClass,40.77491737267877
BldgType,27.575978621790966
HalfBath,23.799477226794785
BedroomAbvGr,23.122424739126867
OpenPorchSF,20.996265103991558
ExterQual,20.60401937676468
3SsnPorch,16.65906875912705
TotRmsAbvGrd,13.12490976459457
Exterior1st,12.522766478283831
RoofStyle,11.297521154886095
TotalBsmtSF,9.008290873849994
RoofMatl,7.975952909243297
Neighborhood,7.867855877479859
Condition2,7.364512468781748
BsmtExposure,7.188442321858375
LotConfig,6.843808140999233
OverallQual,4.651361553072686
EnclosedPorch,3.807174609022404
YrSold,2.8337444134743914
BsmtFullBath,2.681403615510474
MiscVal,2.6125361589404847
Condition1,2.069847509755122
ScreenPorch,1.9931860170908764
BsmtQual,1.543471256391516
Exterior2nd,1.0691385112778005
GarageQual,0.9069790897225462
Utilities,0.5401899285800962
BsmtFinSF1,0.3498812357737935
LandContour,0.32690731241341614
PoolArea,0.27923713280582907
MoSold,0.11896730453809326
GarageArea,0.09402910862253404
LotArea,0.017610136218450697
2ndFlrSF,0.013532902099604399
BsmtFinType2,0.008230434961032382
LotShape,0.0019588394609943187
